2018,2019,2020,2021,Month,**Numeric Value Property**,Cause,2022 (Provisional),2023 (Provisional)
3966,3833,4026,3890,January,Deaths,Suicide,4147,4221
3596,3561,3652,3568,February,Deaths,Suicide,3809,3714
4011,4161,3952,3996,March,Deaths,Suicide,4106,
3920,4029,3473,3722,April,Deaths,Suicide,4024,
4190,4052,3756,4091,May,Deaths,Suicide,4374,
4378,4050,3960,4087,June,Deaths,Suicide,4271,
4356,4193,4168,4092,July,Deaths,Suicide,4366,
4300,4181,4040,4367,August,Deaths,Suicide,4340,
4136,4109,3908,4232,September,Deaths,Suicide,4107,
4127,4043,3781,4278,October,Deaths,Suicide,4076,
3651,3597,3704,3962,November,Deaths,Suicide,3900,
3713,3702,3559,3898,December,Deaths,Suicide,3944,